ponto,Temperatura,pH,Potêncial de oxirredução,Turbidez,Oxigênio dissolvido,Espécie A,Espécie B
P1,18,6.3,213,10.6,10.03,10,10
P1,17,7.11,143,7.11,9,9,9
P1,17.5,6.7,311,13.7,11.84,8,8
P1,18.6,6,347,22.4,11,7,7
P1,19,7,246,20.3,9.75,6,6
P1,17.2,7.2,365,8.46,9.77,5,5
P1,17,6.8,89,17.6,7,4,4
P1,18,7.12,64,5.56,10.9,11,11
P1,18.9,7,123,16.2,9.7,12,12
P1,17.4,6.9,264,11.5,11.38,13,13
P1,18.1,6.8,167,10.8,12.74,14,14
P1,17,6.7,156,6,7.84,12,12
P2,20,7.8,116,12.7,10.73,2,6
P2,21,7,141,12.5,9.29,5,5
P2,19.6,9,238,19.4,10.02,4,4
P2,18.8,8,245,9.06,8.76,6,11
P2,21,8.1,301,6,9.49,6,12
P2,21.6,8,299,13.5,10.51,7,13
P2,22,8,100,6.44,8.87,1,14
P2,21.8,8.1,95,10.4,12.71,2,10
P2,20,7.9,125,8.96,8.56,5,9
P2,20.7,8.9,130,10.9,9.76,6,8
P2,20.7,8.5,92,13.4,8.05,7,7
P2,22.8,8.4,133,9.01,7.81,9,5
P3,25,8.6,150,17,10.27,10,9
P3,24,8.5,239,26.6,9.63,9,3
P3,23,8.7,197,23.4,13.3,8,2
P3,24.5,8.4,188,26.7,7.76,7,1
P3,23.8,8.4,288,15,9.04,6,2
P3,25,8.3,255,21.3,9.71,5,1
P3,25.7,7.9,204,14.4,9.66,4,2
P3,25.9,9,224,17.6,8.36,11,3
P3,24,9.1,188,17.8,9.99,12,0
P3,23,9.2,275,26.9,8.01,13,1
P3,28.9,9,216,22,7.26,14,2
P3,25,8.9,197,14.1,10.04,12,0
